Chen's new columns	Reference	Publication Year	Title	Journal	DOI	GEO Accession Number	hiPSC Line (Healthy Control)	Number of Healthy Control hiPSC-CM Lines	Sex of hiPSC Line	Ancestry of hiPSC Line	hiPSC Matrix Coating	hiPSC Backbone Media	Confluency at Start of Differentiation (%)	hiPSC-CM Backbone Media	hiPSC-CM Media Supplements	Wnt Activator	Time of Wnt Activator (Start Day - End Day)	Wnt Inhibitor	Time of Wnt Inibitor (Start Day - End Day)	Day Insulin is Added (Until End Unless Noted)	Purification Protocol	Time of hiPSC-CM Purification (Start Day - End Day)	Method to Assess Differentiation Purity	Differentiation Purity (%)	hiPSC-CM Maintenance/Maturation Media (if different)	hiPSC-CM Matrix Coating if Replated	Maturation Technique: Metabolic?	Metabolic Components	Maturation Technique: Electrical Stimulation?	Maturation Technique: Passive Tension?	Maturation Technique: Other Cell Types?	Maturation Technique: Mechanical Stimulation?	Maturation Technique: Cell Alignment?	Maturation Technique: Elastomeric Surface?	Maturation Technique: Cell Derived ECM?	2D: Surface	3D: Platform Type	3D: Cell Types	3D: Type of Stromal Cell (SC)	3D: Types of Endothelial Cell (EC) 	3D: Cell Composition (CM-EC-SC)	Tissue Media	3D: Estimated Tissue Cell Density (10^6 cells/mL)	3D:Estimated Tissue size (mm2)	Immunofluorescent Imaging?	SEM or TEM	Sarcomere/Cellular Alignment Analysis?	Sarcomere Length (um)	Cell Area (um2)	T-tubules Present?	Contractile Analyses Method	Force (mN)	Stress (mN/mm2)	Upstroke Velocity (um/s)	Calcium Handling Analyses Method	Amplitude (F/F0)	Beat Rate (beats per minute)	Time to Peak (ms)	Time to Relaxation (ms)	Conduction Velocity (cm/s)	Electrophysiology Analyses Method	AP Conduction Velocity (cm/s)	AP Amplitude (mV)	Resting Membrane Potential (mV)	Max Capture Rate (Hz)	Metabolic Analyses Method	Fatty Acid Metabolism Measured?	Gene Analyses Method	Pharmacological Interventions	Disease
	Cashman, T. J., Josowitz, R., Johnson, B. V., Gelb, B. D. & Costa, K. D. Human engineered cardiac tissues created using induced pluripotent stem cells reveal functional characteristics of BRAF-mediated hypertrophic cardiomyopathy. PLoS One 11, (2016).	2016.0	 Human engineered cardiac tissues created using induced pluripotent stem cells reveal functional characteristics of BRAF-mediated hypertrophic cardiomyopathy	 PLoS One 11, (2016)	https://doi.org/10.3389/fcvm.2021.806215		in-house	1			MEF feeder cells	DMEM/F12, KSR, MEF-conditioned medium, L-glutamine, NEAAs, β-mercaptoethanol, bFGF	EB	StemPro-34	L-glutamine, 1-thioglycerol, L-ascorbic acid, transferrin	Activin A, BMP4	0-1 (BMP4), 2-4 (both)	IWR1	4-8		Cell sorting									Yes	Yes						Collagen + matrigel	CM + SC	hiPSC-SC		75, 0, 25	NBS	10.0	5							Post deflection	0.05		500 uN/s											2.5			PCR	isoproterenol	Cardio-facio-cutaneous syndrome causing BRAF mutation
	Chelko, S. P. et al. Therapeutic Modulation of the Immune Response in Arrhythmogenic Cardiomyopathy. Circulation 140, 1491–1505 (2019).	2019.0	 Therapeutic Modulation of the Immune Response in Arrhythmogenic Cardiomyopathy	 Circulation 140, 1491–1505 (2019)	https://doi.org/10.1161/CIRCULATIONAHA.119.040676		in-house	2			Geltrex	E8	80	RPMI-1640	B27	CHIR99021	0-2	IWR1	3-5	9, not 15-19	No glucose with lactate	15-19				Geltrex										ECM-coated plastic/glass									Yes																									ACM
	Chen, P. et al. Bioacoustic-enabled patterning of human iPSC-derived cardiomyocytes into 3D cardiac tissue. Biomaterials 131, 47–57 (2017).	2017.0	 Bioacoustic-enabled patterning of human iPSC-derived cardiomyocytes into 3D cardiac tissue	 Biomaterials 131, 47–57 (2017)	https://doi.org/10.1016/j.biomaterials.2017.03.037		in-house	1			Matrigel	E8	85	RPMI-1640	L-ascorbic acid, albumin	CHIR99021	0-2	Wnt-C59	2-4		No glucose with lactate	8-12	IHC a-actinin	98									Yes				Scaffold free	CM			100, 0, 0	RPMI-1640, L-ascorbic acid, albumin, aprotinin	1.7		Yes						Motion tracking analysis		0.225													Reduction assay 				
	Chen, T. & Vunjak-Novakovic, G. Human Tissue-Engineered Model of Myocardial Ischemia-Reperfusion Injury. Tissue Eng Part A 25, 711–724 (2019).	2019.0	 Human Tissue-Engineered Model of Myocardial Ischemia-Reperfusion Injury	 Tissue Eng Part A 25, 711–724 (2019)	https://doi.org/10.1089/ten.tea.2018.0212		WTC11	1	Male	Asian	Matrigel	mTeSR-1	92.5	RPMI-1640	L-ascorbic acid, albumin	CHIR99021	0-2	Wnt-C59	2-4	12										Yes							Collagen + fibrin	CM			100, 0, 0	RPMI-1640, B27, L-ascorbic acid, aprotinin	25.0	14	Yes						Motion tracking analysis																			Acute myocardial infarction
	Chen, V. C. et al. Development of a scalable suspension culture for cardiac differentiation from human pluripotent stem cells. Stem Cell Res 15, 365–375 (2015).	2015.0	 Development of a scalable suspension culture for cardiac differentiation from human pluripotent stem cells	 Stem Cell Res 15, 365–375 (2015)	https://doi.org/10.1016/j.scr.2015.08.002		in-house	1			EBs	StemPro hESC SFM, bFGF	EB	RPMI-1640 (with 20-40% conditioned media)	B27	CHIR99021	0-1	IWP4	2-4	4			Flow cytometry for cTnT+	96		Synthemax										ECM-coated plastic/glass									Yes																Patch clamp		118	-61.3				RNA-seq		
	Chen, Y., Chan, J. P. Y., Wu, J., Li, R. K. & Santerre, J. P. Compatibility and function of human induced pluripotent stem cell derived cardiomyocytes on an electrospun nanofibrous scaffold, generated from an ionomeric polyurethane composite. J Biomed Mater Res A 110, 1932–1943 (2022).	2022.0	 Compatibility and function of human induced pluripotent stem cell derived cardiomyocytes on an electrospun nanofibrous scaffold, generated from an ionomeric polyurethane composite	 J Biomed Mater Res A 110, 1932–1943 (2022)	https://doi.org/10.1002/jbm.a.37428		iCell2	1						iCell Maintenance Medium	iCell Maintenance Medium (CDI)											Gelatin							Yes			Electrospun fibers						iCell Maintenance Medium (CDI)			Yes	SEM	Yes		1250						Dye		15.0			11.0										
	Cheng, J. et al. An East Asian Common Variant Vinculin P.Asp841His Was Associated With Sudden Unexplained Nocturnal Death Syndrome in the Chinese Han Population. J Am Heart Assoc 6, (2017).	2017.0	 An East Asian Common Variant Vinculin P.Asp841His Was Associated With Sudden Unexplained Nocturnal Death Syndrome in the Chinese Han Population	 J Am Heart Assoc 6, (2017)	https://doi.org/10.1161/JAHA.116.005330		iCell	1																												ECM-coated plastic/glass																									Patch clamp									Cadiomyopathy-causing vinculin mutation that may account for sudden unexplained nocturnal death syndrome
	Chopra, A. et al. Force Generation via β-Cardiac Myosin, Titin, and α-Actinin Drives Cardiac Sarcomere Assembly from Cell-Matrix Adhesions. Dev Cell 44, 87-96.e5 (2018).	2018.0	 Force Generation via  β-Cardiac Myosin, Titin, and α-Actinin Drives Cardiac Sarcomere Assembly from Cell-Matrix Adhesions	 Dev Cell 44, 87-96.e5 (2018)	https://doi.org/10.1016/j.devcel.2017.12.012		PGP1	1	Male	Caucasian	Matrigel	mTeSR-1		RPMI-1640	B27	CHIR99021	0-1	IWP4	3-5	7	No glucose and lactate	9-11	Flow cytometry for cTnT+	90		Fibronectin										Micropatterned PDMS, Micropatterned PAA	Collagen + fibrin	CM + SC	hMSC		70, 0, 30			0.01	Yes		Yes																							DCM
	Chun, Y. W. et al. Combinatorial polymer matrices enhance in vitro maturation of human induced pluripotent stem cell-derived cardiomyocytes. Biomaterials 67, 52–64 (2015).	2015.0	 Combinatorial polymer matrices enhance in vitro maturation of human induced pluripotent stem cell-derived cardiomyocytes	 Biomaterials 67, 52–64 (2015)	https://doi.org/10.1016/j.biomaterials.2015.07.004		CC2	1			Matrigel	mTeSR-1		RPMI-1640	B27	Activin A, BMP4, bFGF	0-5			5			Flow cytometry for cTnT+	95	DMEM/F12, FBS, L-glutamine, NEAAs, β-mercaptoethanol	Matrigel, Vitronectin							Yes			Electrospun fibers									Yes						TFM	0.0002														TMRM staining		RNA-seq, PCR		
	Correia, C. et al. 3D aggregate culture improves metabolic maturation of human pluripotent stem cell derived cardiomyocytes. Biotechnol Bioeng 115, 630–644 (2018).	2018.0	 3D aggregate culture improves metabolic maturation of human pluripotent stem cell derived cardiomyocytes	 Biotechnol Bioeng 115, 630–644 (2018)	https://doi.org/10.1002/bit.26504		DF19-9-11T.H, UKKi006-A	2	Male, Female	NaN, Caucasian	Matrigel	mTeSR-1	85	RPMI-1640	B27	CHIR99021	0-1	IWR1	1-3	7			Flow cytometry for cTnT+	80		Matrigel										ECM-coated plastic/glass	Scaffold free	CM			100, 0, 0		0.36	0.06	Yes	TEM		1.5									50.0				Optical mapping					Metabolic flux	Yes	Transcriptomics		
	Correia, C. et al. Distinct carbon sources affect structural and functional maturation of cardiomyocytes derived from human pluripotent stem cells. Sci Rep 7, (2017).	2017.0	 Distinct carbon sources affect structural and functional maturation of cardiomyocytes derived from human pluripotent stem cells	 Sci Rep 7, (2017)	https://doi.org/10.1038/s41598-017-08713-4 		DF19-9-11T.H	1	Male		Matrigel	mTeSR-1	85	RPMI-1640	B27, L-ascorbic acid	CHIR99021, Activin A	0-1	IWR1	1-6	1	No glucose with lactate	15-35	Flow cytometry for cTnT+	80	RPMI-1640 without glucose, B27, L-glutamine, galactose, oleic acid, palmitic acid	Matrigel	Yes	Glutamine, oleic acid, palmitic acid, galactose								ECM-coated plastic/glass									Yes	TEM	Yes				Motion tracking analysis		0.5	70	Dye	4.0		99								Seahorse	Yes	Microarray		
	Cortes, D. et al. BEaTS-α an open access 3D printed device for in vitro electromechanical stimulation of human induced pluripotent stem cells. Sci Rep 10, (2020).	2020.0	 BEaTS-α an open access 3D printed device for in vitro electromechanical stimulation of human induced pluripotent stem cells	 Sci Rep 10, (2020)	https://doi.org/10.1038/s41598-020-67169-1		in-house	1					85	RPMI-1640	L-ascorbic acid, albumin	CHIR99021	0-2	Wnt-C59	2-4		No glucose	10-14				Attachment Factor (Thermo)			Yes			Yes				ECM-coated plastic/glass									Yes		Yes	1.9																				PCR		
	Crombie, D. E. et al. Friedreich’s ataxia induced pluripotent stem cell-derived cardio-myocytes display electrophysiological abnormalities and calcium handling deficiency. Aging 9 1440-1449 (2017).	2017.0	 Friedreich’s ataxia induced pluripotent stem cell-derived cardio-myocytes display electrophysiological abnormalities and calcium handling deficiency	 Aging 9 1440-1449 (2017)	https://doi.org/10.18632/aging.101247		in-house	1			EBs	TeSR-E8		IMDM	L-glutamine, HEPES, NEAAs, human albumin, β-mercaptoethanol, L-ascorbic acid 	CHIR99021	0-2	KY02111, XAV939	3-8				IHC: cTnT, cTnI, NKX2-5		IMDM, L-glutamine, HEPES, NEAAs, β-mercaptoethanol	Laminin, Matrigel										ECM-coated plastic/glass									Yes										Dye						MEA							PCR	isoproterenol, nifedipine	Friedreich’s ataxia (FRDA)
	Cui, H. et al. 4D physiologically adaptable cardiac patch: A 4-month in vivo study for the treatment of myocardial infarction. Sci Adv 26,  (2020).	2020.0	 4D physiologically adaptable cardiac patch: A 4-month in vivo study for the treatment of myocardial infarction	 Sci Adv 26,  (2020)	https://doi.org/10.1126/sciadv.abb5067		in-house	1			Matrigel	E8	85	E8	Chemically Defined Lipid Concentrate	CHIR99021	0-1	IWP2	2-5	7											Yes	Flow 	Yes				PEG + ECM	CM + EC + SC	hMSC	HUVEC	33, 33, 33	E8, Chemically Defined Lipid Concentrate: α-MEM, FBS, L-glutamine: Medium 200 and low-serum growth supplement  (1:1:1)		4	Yes										Dye	2.0												PCR		
	Cui, N. et al. Doxorubicin-induced cardiotoxicity is maturation dependent due to the shift from topoisomerase IIα to IIβ in human stem cell derived cardiomyocytes. J Cell Mol Med 23, 4627–4639 (2019).	2019.0	 Doxorubicin-induced cardiotoxicity is maturation dependent due to the shift from topoisomerase II? to II? in human stem cell derived cardiomyocytes	 J Cell Mol Med 23, 4627–4639 (2019)	https://doi.org/10.1111/jcmm.14346		Cellapy	1				PSCeasy culture medium (Cellapy)	85	RPMI-1640	L-ascorbic acid, albumin	CHIR99021	0-2	Wnt-C59	2-4		No glucose	10-15	Flow cytometry for cTnT+	95	RPMI-1640, albumin	Matrigel										ECM-coated plastic/glass									Yes			2.5		Yes					Dye													PCR	doxorubicin, caffeine	
	Cyganek, L. et al. Deep phenotyping of human induced pluripotent stem cell-derived atrial and ventricular cardiomyocytes. JCI Insight 3, (2018).	2018.0	 Deep phenotyping of human induced pluripotent stem cell-derived atrial and ventricular cardiomyocytes	 JCI Insight 3, (2018)	https://doi.org/10.1172/jci.insight.99941		UMGi001-A, UMGi005-A, UMGi014-A	3	NaN, Female, NaN	NaN, NaN, NaN	Geltrex	E8	85	RPMI-1640	Glutamax, HEPES, albumin, L-ascorbic acid	CHIR99021	0-2	IWP2	2-4	8, not 15-20	No glucose with lactate	15-20	Flow cytometry for cTnT+	90	RPMI-1640, GlutaMax, HEPES, B27	Geltrex			Yes	Yes	Yes					ECM-coated plastic/glass	Collagen + matrigel	CM + SC	hFF		70, 0, 30	Iscove medium, B27, IGF-1, FGF-2, VEGF, TGFB, L-glutamine, NEAAs	15.0	4	Yes						Post deflection	1.2			Dye			300			Optical mapping							RNA-seq, PCR	isoproterenol, carbamylcholine	
	Czirok, A. et al. Optical-flow based non-invasive analysis of cardiomyocyte contractility. Sci Rep 7, (2017).	2017.0	 Optical-flow based non-invasive analysis of cardiomyocyte contractility	 Sci Rep 7, (2017)	https://doi.org/10.1038/s41598-017-10094-7		in-house	1			Matrigel		85	RPMI-1640	L-ascorbic acid, albumin	BIO, bFGF	0-2	Wnt-C59	2-7				Flow cytometry for cTnT+; Flow cytometry for NKX2-5+	85												ECM-coated plastic/glass									Yes						Motion tracking analysis				Dye															
	Dai, Y. et al. Troponin destabilization impairs sarcomere-cytoskeleton interactions in iPSC-derived cardiomyocytes from dilated cardiomyopathy patients. Sci Rep 10, (2020).	2020.0	 Troponin destabilization impairs sarcomere-cytoskeleton interactions in iPSC-derived cardiomyocytes from dilated cardiomyopathy patients	 Sci Rep 10, (2020)	https://doi.org/10.1038/s41598-019-56597-3		in-house	3			Matrigel	E8	85	RPMI-1640	B27	CHIR99021	0-2	IWP2	2-4	7			Flow cytometry for cTnT+	90						Yes		Yes				ECM-coated plastic/glass	Collagen	CM			100, 0, 0	Iscove medium, B27, IGF-1, FGF-2, VEGF, TGFB, L-glutamine, NEAAs	2.5	39.5	Yes		Yes	1.75			Motion tracking analysis	1.1																		DCM
	Daly, A. C., Davidson, M. D. & Burdick, J. A. 3D bioprinting of high cell-density heterogeneous tissue models through spheroid fusion within self-healing hydrogels. Nat Commun 12, (2021).	2021.0	 3D bioprinting of high cell-density heterogeneous tissue models through spheroid fusion within self-healing hydrogels	 Nat Commun 12, (2021)	https://doi.org/10.1038/s41467-021-21029-2		iCellA, iCellB	2	NaN, NaN	NaN, NaN				iCell Maintenance Medium	iCell Maintenance Medium (CDI)									97							Yes						3D printing	CM + SC	hMSC		80, 0, 20	iCell Maintenance Medium (CDI)	0.3	0.03							Motion tracking analysis				Dye	1.0	36.0	100												Myocardial fibrosis
	de Lange, W. J. et al. Human iPSC-engineered cardiac tissue platform faithfully models important cardiac physiology. Am J Physiol Heart Circ Physiol 320, H1670–H1686 (2021).	2021.0	 Human iPSC-engineered cardiac tissue platform faithfully models important cardiac physiology	 Am J Physiol Heart Circ Physiol 320, H1670–H1686 (2021)	https://doi.org/10.1152/ajpheart.00941.2020		DF19-9-11T.H	1	Male		Matrigel	StemFlex	100	RPMI-1640	B27	CHIR99021	0-1	IWP4	3-5	7	No glucose with lactate	17-24	Visual Inspection	95		SyntheMax				Yes	Yes						Fibrin	CM + SC	hiPSC-CF		91, 0, 9	High-glucose DMEM, F12, FBS, horse serum, HEPES, NEAAs, sodium pyruvate	11.0	24	Yes					Yes	Force transducer		12.0		Dye		36.0	100			Optical mapping							PCR	isoproterenol	
	De Leeuw, V. C. et al. Going Back and Forth: Episomal Vector Reprogramming of Peripheral Blood Mononuclear Cells to Induced Pluripotent Stem Cells and Subsequent Differentiation into Cardiomyocytes and Neuron-Astrocyte Co-cultures. Cell Reprogram 22, 300–310 (2020).	2020.0	 Going Back and Forth: Episomal Vector Reprogramming of Peripheral Blood Mononuclear Cells to Induced Pluripotent Stem Cells and Subsequent Differentiation into Cardiomyocytes and Neuron-Astrocyte Co-cultures	 Cell Reprogram 22, 300–310 (2020)	https://doi.org/10.1089/cell.2020.0040		in-house	1			Geltrex	E8		PSC Cardiomyocyte Differentiation Kit (Gibco)	PSC Cardiomyocyte Differentiation Kit (Gibco)	StemCell Differentiation kit	0-4		6-8	8					PSC Cardiomyocyte Differentiation Kit (Gibco) Maintenance media											ECM-coated plastic/glass									Yes																									
	Depalma, S. J., Davidson, C. D., Stis, A. E., Helms, A. S. & Baker, B. M. Microenvironmental determinants of organized iPSC-cardiomyocyte tissues on synthetic fibrous matrices. Biomater Sci 9, 93–107 (2021).	2021.0	 Microenvironmental determinants of organized iPSC-cardiomyocyte tissues on synthetic fibrous matrices	 Biomater Sci 9, 93–107 (2021)	https://doi.org/10.1039/D0BM01247E		PGP1	1	Male	Caucasian		mTeSR-1		RPMI-1640	B27	CHIR99021	0-1	IWP4	3-5	9, not 11-15	No glucose with lactate	11-15				Fibronectin							Yes			Electrospun fibers									Yes		Yes								Dye		40.0	150	350											
	Dias, T. P. et al. Biophysical study of human induced Pluripotent Stem Cell-Derived cardiomyocyte structural maturation during long-term culture. Biochem Biophys Res Commun 499, 611–617 (2018).	2018.0	 Biophysical study of human induced Pluripotent Stem Cell-Derived cardiomyocyte structural maturation during long-term culture	 Biochem Biophys Res Commun 499, 611–617 (2018)	https://doi.org/10.1016/j.bbrc.2018.03.198		DF6-9-9T.B	1			Matrigel	mTeSR-1	95	RPMI-1640	B27	CHIR99021	0-1	IWP4	3-5	7						Matrigel										ECM-coated plastic/glass									Yes		Yes	1.12							Dye															
	Diez-Cuñado, M. et al. miRNAs that Induce Human Cardiomyocyte Proliferation Converge on the Hippo Pathway. Cell Rep 23, 2168–2174 (2018).	2018.0	 miRNAs that Induce Human Cardiomyocyte Proliferation Converge on the Hippo Pathway	 Cell Rep 23, 2168–2174 (2018)	https://doi.org/10.1016/j.celrep.2018.04.049		iCell	1						iCell Maintenance Medium	iCell Maintenance Medium (CDI)										IMDM, Ham's-F12, L-glutamine, B27, N-2 supplement, L-ascorbic acid, BSA	Gelatin										ECM-coated plastic/glass																																RNA-seq		
	Dipalo, M. et al. Plasmonic meta-electrodes allow intracellular recordings at network level on high-density CMOS-multi-electrode arrays. Nat Nanotechnol 13, 965–971 (2018).	2018.0	 Plasmonic meta-electrodes allow intracellular recordings at network level on high-density CMOS-multi-electrode arrays	 Nat Nanotechnol 13, 965–971 (2018)	https://doi.org/10.1038/s41565-018-0222-z		Cor.4U	1						Cor.4U complete medium	Cor.4U complete medium											Geltrex										MEA						Cor.4U complete medium				SEM															MEA								dofetilide, ATX-II, tetrodotoxin	
	Dou, W. et al. A microdevice platform for characterizing the effect of mechanical strain magnitudes on the maturation of iPSC-Cardiomyocytes. Biosens Bioelectron 175, (2021).	2021.0	 A microdevice platform for characterizing the effect of mechanical strain magnitudes on the maturation of iPSC-Cardiomyocytes	 Biosens Bioelectron 175, (2021)	https://doi.org/10.1016/j.bios.2020.112875		iCell2	1						iCell Maintenance Medium	iCell Maintenance Medium (CDI)											Fibronectin, Gelatin, Laminin						Yes		Yes		ECM-coated PDMS									Yes		Yes	1.9			TFM		1.7																	
	Dou, W. et al. Label-free conduction velocity mapping and gap junction assessment of functional iPSC-Cardiomyocyte monolayers. Biosens Bioelectron 167, (2020).	2020.0	 Label-free conduction velocity mapping and gap junction assessment of functional iPSC-Cardiomyocyte monolayers	 Biosens Bioelectron 167, (2020)	https://doi.org/10.1016/j.bios.2020.112468		iCell2	1						iCell Maintenance Medium	iCell Maintenance Medium (CDI)											Fibronectin, Gelatin, Laminin										ECM-coated plastic/glass									Yes						Motion tracking analysis				Dye					20.0		21.0								ACM
	Du, D. T. M., Hellen, N., Kane, C. & Terracciano, C. M. N. Action potential morphology of human induced pluripotent stem cell-derived cardiomyocytes does not predict cardiac chamber specificity and is dependent on cell density. Biophys J 108, 1–4 (2015).	2015.0	 Action potential morphology of human induced pluripotent stem cell-derived cardiomyocytes does not predict cardiac chamber specificity and is dependent on cell density	 Biophys J 108, 1–4 (2015)	https://doi.org/10.1016/j.bpj.2014.11.008		iCell	1						iCell Maintenance Medium	iCell Maintenance Medium (CDI)																					ECM-coated plastic/glass																									Optical mapping								carbenoxolone	
	Dwenger, M. et al. Chronic optical pacing conditioning of h-iPSC engineered cardiac tissues. J Tissue Eng 10, (2019).	2019.0	 Chronic optical pacing conditioning of h-iPSC engineered cardiac tissues	 J Tissue Eng 10, (2019)	https://doi.org/10.1177/2041731419841748		201B6	1	Female	Caucasian	Matrigel	MEF-conditioned medium		RPMI-1640	B27	Activin A, Wnt3a	0-1	BMP4, bFGF	1-5						RPMI-1640, B27, VEGF				Optical pacing	Yes	Yes						Collagen + matrigel	CM + EC + SC	hiPSC-MC	hiPSC-EC	56, 11, 14	DMEM, FBS	15.0	40	Yes		Yes				Force transducer 		0.72								Patch clamp			-35.0	6.0			PCR		
	Edri, R. et al. Personalized Hydrogels for Engineering Diverse Fully Autologous Tissue Implants. Advanced Materials 31, (2019).	2019.0	 Personalized Hydrogels for Engineering Diverse Fully Autologous Tissue Implants	 Advanced Materials 31, (2019)	https://doi.org/10.1002/adma.201803895		in-house	1					100	iCell Maintenance Medium	iCell Maintenance Medium (CDI)	CHIR99021	0-1	IWP2	4-5	8			Flow cytometry for cTnT+; Flow cytometry for NKX2-5	70		Matrigel, Gelatin											Decellularized tissue	CM			100, 0, 0	iCell Maintenance Medium (CDI)			Yes																									
